a,transaction_id,customer_id,credit_card_number,amount,transaction_type,old_balance,transaction_time,new_balance,is_fraud
34,T00034,C2839,4.27848E+16,9489.37,Transfer,45950.76,01-01-2023 00:33,36461.39,0
35,T00035,C3413,4.78311E+16,9656.66,POS,30493.17,01-01-2023 00:34,20836.51,0
36,T00036,C2139,4.82895E+16,8085.89,Online,40384.98,01-01-2023 00:35,32299.09,0
37,T00037,C4315,4.17075E+16,3053.09,Online,19255.36,01-01-2023 00:36,16202.27,0
38,T00038,C4560,4.93117E+16,985.74,POS,23644.96,01-01-2023 00:37,22659.22,0
39,T00039,C1026,4.78854E+16,6845.49,POS,43455.65,01-01-2023 00:38,36610.16,0
40,T00040,C4108,4.61142E+16,4407.12,POS,20800.91,01-01-2023 00:39,16393.79,0
41,T00041,C4300,4.18369E+16,1229.16,POS,26779.51,01-01-2023 00:40,25550.35,1
42,T00042,C1653,4.82269E+16,4956.82,ATM,1107.73,01-01-2023 00:41,-3849.09,0
43,T00043,C3859,4.72924E+16,353.54,Transfer,8014.04,01-01-2023 00:42,7660.5,0
44,T00044,C2731,4.18761E+16,9094.11,ATM,32120.16,01-01-2023 00:43,23026.05,0
45,T00045,C2393,4.37958E+16,2595.21,Transfer,35877.15,01-01-2023 00:44,33281.94,0
46,T00046,C2138,4.68044E+16,6628.6,Transfer,29171.79,01-01-2023 00:45,22543.19,0
47,T00047,C1636,4.7904E+16,3123.99,Transfer,7251.17,01-01-2023 00:46,4127.18,0
48,T00048,C1881,4.52383E+16,5205.48,ATM,22325.73,01-01-2023 00:47,17120.25,0
49,T00049,C4920,4.95339E+16,5471.64,POS,17819.23,01-01-2023 00:48,12347.59,0
50,T00050,C4127,4.22945E+16,1856.7,ATM,24833.5,01-01-2023 00:49,22976.8,0
51,T00051,C2378,4.90678E+16,9696.15,ATM,43529.42,01-01-2023 00:50,33833.27,0
52,T00052,C1418,4.33243E+16,7753.58,Transfer,38815.49,01-01-2023 00:51,31061.91,0
53,T00053,C1379,4.42737E+16,9395.59,Online,4291.08,01-01-2023 00:52,-5104.51,0
54,T00054,C2556,4.26515E+16,8949.33,Online,44526.43,01-01-2023 00:53,35577.1,0
55,T00055,C1396,4.9262E+16,5983.02,ATM,23641.18,01-01-2023 00:54,17658.16,1
56,T00056,C2470,4.39753E+16,9219.52,Transfer,37218.72,01-01-2023 00:55,27999.2,0
57,T00057,C4471,4.87533E+16,894.04,ATM,7087.96,01-01-2023 00:56,6193.92,0
58,T00058,C2408,4.39252E+16,1967.87,ATM,33568.9,01-01-2023 00:57,31601.03,0
59,T00059,C3472,4.53911E+16,461.82,POS,11892.67,01-01-2023 00:58,11430.85,0
60,T00060,C2083,4.15888E+16,3260.05,Transfer,21975.21,01-01-2023 00:59,18715.16,0
61,T00061,C4305,4.20168E+16,3892.89,Online,941.46,01-01-2023 01:00,-2951.43,0
62,T00062,C1177,4.53113E+16,2720.78,Online,7665.37,01-01-2023 01:01,4944.59,0
63,T00063,C3988,4.8618E+16,8289.09,Online,4694.82,01-01-2023 01:02,-3594.27,0
64,T00064,C2881,4.35423E+16,3573.97,ATM,12063.23,01-01-2023 01:03,8489.26,0
65,T00065,C3196,4.414E+16,2816.54,Transfer,5090.9,01-01-2023 01:04,2274.36,0
66,T00066,C1511,4.61762E+16,5431.53,POS,34626.31,01-01-2023 01:05,29194.78,0
67,T00067,C4985,4.55752E+16,1417.83,Online,1549.09,01-01-2023 01:06,131.26,0
68,T00068,C4777,4.46541E+16,8023.95,Transfer,30925.25,01-01-2023 01:07,22901.3,0
69,T00069,C2550,4.74336E+16,754.76,Online,7121.32,01-01-2023 01:08,6366.56,0
70,T00070,C1322,4.19636E+16,9869,POS,47263.56,01-01-2023 01:09,37394.56,0
71,T00071,C3261,4.60094E+16,7724.73,Transfer,46661.39,01-01-2023 01:10,38936.66,0
72,T00072,C2200,4.16388E+16,1995.17,ATM,11352.6,01-01-2023 01:11,9357.43,0
73,T00073,C4397,4.37212E+16,65.17,ATM,30759.62,01-01-2023 01:12,30694.45,1
74,T00074,C3574,4.51521E+16,8156.46,Online,1497.47,01-01-2023 01:13,-6658.99,0
75,T00075,C3533,4.63191E+16,7071.5,Online,46596.25,01-01-2023 01:14,39524.75,0
76,T00076,C4626,4.31489E+16,7292.78,Transfer,26197.07,01-01-2023 01:15,18904.29,0
77,T00077,C4529,4.3195E+16,7714.99,POS,2256.84,01-01-2023 01:16,-5458.15,1
78,T00078,C2481,4.24323E+16,749.71,Online,17190.75,01-01-2023 01:17,16441.04,0
79,T00079,C3364,4.53448E+16,3591.07,Transfer,3934.79,01-01-2023 01:18,343.72,0
80,T00080,C1787,4.1595E+16,1167.53,POS,19707.93,01-01-2023 01:19,18540.4,0
81,T00081,C3885,4.28756E+16,8632.4,Online,33529.32,01-01-2023 01:20,24896.92,1
82,T00082,C1284,4.72515E+16,6236.75,Online,23547.51,01-01-2023 01:21,17310.76,1
83,T00083,C1187,4.48834E+16,3315.67,Transfer,19247.74,01-01-2023 01:22,15932.07,0
84,T00084,C3708,4.98289E+16,644.95,Online,6045.94,01-01-2023 01:23,5400.99,0
85,T00085,C1933,4.6109E+16,3116.71,ATM,12322.46,01-01-2023 01:24,9205.75,0
86,T00086,C4166,4.40823E+16,3258.58,POS,5097.15,01-01-2023 01:25,1838.57,0
87,T00087,C2185,4.72522E+16,7298.77,POS,40394.19,01-01-2023 01:26,33095.42,0
88,T00088,C1326,4.2559E+16,6379.2,ATM,6848.47,01-01-2023 01:27,469.27,0
89,T00089,C4503,4.70313E+16,8873.26,Transfer,29809.13,01-01-2023 01:28,20935.87,0
90,T00090,C1953,4.76596E+16,4727.43,ATM,17202.75,01-01-2023 01:29,12475.32,0
91,T00091,C4549,4.74123E+16,1204.75,ATM,11376.32,01-01-2023 01:30,10171.57,0
92,T00092,C1413,4.85368E+16,7135.32,POS,32009.48,01-01-2023 01:31,24874.16,0
93,T00093,C2556,4.20297E+16,7610.24,Transfer,22904.42,01-01-2023 01:32,15294.18,0
94,T00094,C2138,4.6369E+16,5617.16,Online,20067.26,01-01-2023 01:33,14450.1,0
95,T00095,C2857,4.39307E+16,7711.96,ATM,29683.32,01-01-2023 01:34,21971.36,0
96,T00096,C3603,4.18796E+16,4943.02,ATM,24614.25,01-01-2023 01:35,19671.23,0
97,T00097,C4416,4.50102E+16,5232.1,Transfer,15243.86,01-01-2023 01:36,10011.76,0
98,T00098,C2494,4.37745E+16,4281.13,ATM,27997.16,01-01-2023 01:37,23716.03,0
99,T00099,C1666,4.46551E+16,263.94,Transfer,33507.98,01-01-2023 01:38,33244.04,0
100,T00100,C2516,4.63886E+16,1087.84,Online,1431.99,01-01-2023 01:39,344.15,0
101,T00101,C2455,4.71745E+16,323.98,Transfer,23347,01-01-2023 01:40,23023.02,0
102,T00102,C1858,4.63719E+16,6367.74,Online,2978.4,01-01-2023 01:41,-3389.34,0
103,T00103,C3745,4.83847E+16,3150.42,Transfer,9401.63,01-01-2023 01:42,6251.21,0
104,T00104,C2093,4.3949E+16,5090.62,ATM,28069.39,01-01-2023 01:43,22978.77,0
105,T00105,C3874,4.68095E+16,9076.59,Online,43322.83,01-01-2023 01:44,34246.24,0
106,T00106,C4836,4.15538E+16,2500.43,ATM,44152,01-01-2023 01:45,41651.57,1
107,T00107,C3799,4.29601E+16,4109.73,Online,3590.21,01-01-2023 01:46,-519.52,0
108,T00108,C3654,4.22513E+16,7557.96,Transfer,21013.34,01-01-2023 01:47,13455.38,0
109,T00109,C1292,4.62311E+16,2295.69,Transfer,29192.02,01-01-2023 01:48,26896.33,0
110,T00110,C3495,4.78003E+16,779.03,Transfer,7438.79,01-01-2023 01:49,6659.76,0
111,T00111,C3600,4.82944E+16,2904.62,POS,38295.07,01-01-2023 01:50,35390.45,0
112,T00112,C1700,4.78191E+16,1620.6,POS,37237.34,01-01-2023 01:51,35616.74,0
113,T00113,C3187,4.69527E+16,9297.68,Online,45176.72,01-01-2023 01:52,35879.04,0
114,T00114,C3986,4.508E+16,8083.12,POS,523.45,01-01-2023 01:53,-7559.67,0
115,T00115,C2002,4.36256E+16,6337.7,Transfer,10912.54,01-01-2023 01:54,4574.84,0
116,T00116,C1669,4.65446E+16,8715.89,POS,41376.62,01-01-2023 01:55,32660.73,0
117,T00117,C2893,4.50277E+16,8038.68,POS,33561.94,01-01-2023 01:56,25523.26,0
118,T00118,C2554,4.28524E+16,1873.83,ATM,44730.05,01-01-2023 01:57,42856.22,0
119,T00119,C2105,4.89031E+16,8926.66,Online,2953.26,01-01-2023 01:58,-5973.4,0
120,T00120,C4790,4.36998E+16,5398.03,Online,29888.5,01-01-2023 01:59,24490.47,0
121,T00121,C3621,4.81548E+16,8076.33,Online,28495.42,01-01-2023 02:00,20419.09,0
122,T00122,C3818,4.71209E+16,8961.95,POS,1880.15,01-01-2023 02:01,-7081.8,0
123,T00123,C3281,4.92731E+16,3186.85,Transfer,25724.75,01-01-2023 02:02,22537.9,0
124,T00124,C1899,4.94368E+16,1109.42,ATM,30515.06,01-01-2023 02:03,29405.64,0
125,T00125,C3804,4.74653E+16,2287.07,Online,9645.53,01-01-2023 02:04,7358.46,0
126,T00126,C2328,4.92427E+16,4276.81,POS,13739.15,01-01-2023 02:05,9462.34,0
127,T00127,C4452,4.99197E+16,8181.97,Transfer,32053.33,01-01-2023 02:06,23871.36,0
128,T00128,C4147,4.62487E+16,8608.7,ATM,23468.22,01-01-2023 02:07,14859.52,0
129,T00129,C4178,4.65078E+16,79.45,ATM,42914.88,01-01-2023 02:08,42835.43,0
130,T00130,C1229,4.55975E+16,5112.37,Online,17184.85,01-01-2023 02:09,12072.48,0
131,T00131,C1938,4.86348E+16,4179.94,Online,13406.32,01-01-2023 02:10,9226.38,0
132,T00132,C4366,4.86787E+16,2228.86,Transfer,49244.81,01-01-2023 02:11,47015.95,0
133,T00133,C1131,4.15621E+16,1207.46,POS,45565.67,01-01-2023 02:12,44358.21,0
134,T00134,C4297,4.91162E+16,3382.78,Transfer,1546.74,01-01-2023 02:13,-1836.04,0
135,T00135,C2292,4.97181E+16,9429.67,Online,38559.36,01-01-2023 02:14,29129.69,0
136,T00136,C2643,4.10076E+16,3238.8,Transfer,5605.71,01-01-2023 02:15,2366.91,0
137,T00137,C2096,4.60443E+16,5192.72,POS,1471.51,01-01-2023 02:16,-3721.21,0
138,T00138,C1271,4.98153E+16,7033.16,ATM,13757.41,01-01-2023 02:17,6724.25,1
139,T00139,C1864,4.19881E+16,3642.66,ATM,13540.36,01-01-2023 02:18,9897.7,0
140,T00140,C4740,4.35419E+16,9718.1,ATM,40984.01,01-01-2023 02:19,31265.91,0
141,T00141,C4862,4.12809E+16,9624.85,ATM,35562.3,01-01-2023 02:20,25937.45,0
142,T00142,C3323,4.48885E+16,2525.31,Online,49082.31,01-01-2023 02:21,46557,0
143,T00143,C4589,4.63157E+16,4977.51,Online,35604.49,01-01-2023 02:22,30626.98,0
144,T00144,C3940,4.66314E+16,3015.77,POS,20970.95,01-01-2023 02:23,17955.18,0
145,T00145,C2288,4.74111E+16,2855.56,POS,34976.49,01-01-2023 02:24,32120.93,0
146,T00146,C1870,4.46572E+16,378.5,POS,49973.01,01-01-2023 02:25,49594.51,0
147,T00147,C3684,4.49198E+16,6099.55,POS,35536.08,01-01-2023 02:26,29436.53,0
148,T00148,C3044,4.29025E+16,5031.76,Transfer,38107.9,01-01-2023 02:27,33076.14,0
149,T00149,C2620,4.25619E+16,524.27,POS,46924.41,01-01-2023 02:28,46400.14,0
150,T00150,C4623,4.22526E+16,2793.68,ATM,5771.2,01-01-2023 02:29,2977.52,0
151,T00151,C4745,4.60028E+16,9083.58,ATM,35268.74,01-01-2023 02:30,26185.16,0
152,T00152,C3633,4.8596E+16,2403.22,ATM,42555.22,01-01-2023 02:31,40152,0
153,T00153,C2879,4.42452E+16,1457.5,Transfer,47723.49,01-01-2023 02:32,46265.99,0
154,T00154,C1585,4.47581E+16,4899.63,POS,10627.37,01-01-2023 02:33,5727.74,0
155,T00155,C2084,4.35983E+16,9856.65,ATM,25246.06,01-01-2023 02:34,15389.41,0
156,T00156,C1571,4.88609E+16,2428.13,ATM,34059.69,01-01-2023 02:35,31631.56,0
157,T00157,C2010,4.21308E+16,6724.63,ATM,12448.64,01-01-2023 02:36,5724.01,0
158,T00158,C4051,4.11045E+16,7618.58,ATM,30063.6,01-01-2023 02:37,22445.02,0
159,T00159,C3299,4.68402E+16,2384,Online,12953.18,01-01-2023 02:38,10569.18,0
160,T00160,C3207,4.2297E+16,7284.88,POS,16739.51,01-01-2023 02:39,9454.63,0
161,T00161,C2076,4.89704E+16,3684.15,POS,22131.78,01-01-2023 02:40,18447.63,0
162,T00162,C4059,4.69261E+16,6326.74,Transfer,26506.59,01-01-2023 02:41,20179.85,0
163,T00163,C3394,4.97818E+16,6338.96,Online,22523.36,01-01-2023 02:42,16184.4,0
164,T00164,C2754,4.2223E+16,5362.39,Transfer,24710.46,01-01-2023 02:43,19348.07,0
165,T00165,C4677,4.2236E+16,911.99,ATM,14999.58,01-01-2023 02:44,14087.59,0
166,T00166,C3390,4.82593E+16,8354.67,Transfer,8032.36,01-01-2023 02:45,-322.31,0
167,T00167,C2635,4.87476E+16,3214.59,ATM,2462.76,01-01-2023 02:46,-751.83,0
168,T00168,C2482,4.90487E+16,1873.32,ATM,9879.34,01-01-2023 02:47,8006.02,0
169,T00169,C1898,4.72635E+16,417.34,POS,29138.99,01-01-2023 02:48,28721.65,1
170,T00170,C1566,4.93795E+16,5913.02,POS,39327.16,01-01-2023 02:49,33414.14,0
171,T00171,C3087,4.66137E+16,6778.87,POS,8545.46,01-01-2023 02:50,1766.59,0
172,T00172,C3021,4.50928E+16,175.71,POS,5516.91,01-01-2023 02:51,5341.2,0
173,T00173,C1372,4.48202E+16,5125.81,POS,37489.59,01-01-2023 02:52,32363.78,0
174,T00174,C4095,4.83865E+16,2272.69,Online,15327.4,01-01-2023 02:53,13054.71,0
175,T00175,C1192,4.44652E+16,6455.28,POS,47579.82,01-01-2023 02:54,41124.54,0
176,T00176,C4527,4.30333E+16,1751.92,Transfer,35744.47,01-01-2023 02:55,33992.55,0
177,T00177,C1449,4.4826E+16,6912.47,ATM,16405.13,01-01-2023 02:56,9492.66,1
178,T00178,C1626,4.10669E+16,3873.49,POS,14548.18,01-01-2023 02:57,10674.69,0
179,T00179,C3570,4.5487E+16,9367.93,Online,26232.55,01-01-2023 02:58,16864.62,0
180,T00180,C1655,4.75835E+16,1383.83,Transfer,4049.32,01-01-2023 02:59,2665.49,0
181,T00181,C4244,4.74143E+16,3417.25,Transfer,5972.06,01-01-2023 03:00,2554.81,0
182,T00182,C3787,4.34252E+16,1143.6,ATM,8875.31,01-01-2023 03:01,7731.71,0
183,T00183,C2729,4.93458E+16,9247.69,Transfer,38758.71,01-01-2023 03:02,29511.02,0
184,T00184,C3442,4.61913E+16,8774.62,Transfer,25741.48,01-01-2023 03:03,16966.86,0
185,T00185,C1260,4.13014E+16,2586.84,Transfer,627.3,01-01-2023 03:04,-1959.54,0
186,T00186,C2576,4.13411E+16,6603.24,Transfer,33708.47,01-01-2023 03:05,27105.23,0
187,T00187,C2563,4.53529E+16,8174.05,Online,21242.14,01-01-2023 03:06,13068.09,0
188,T00188,C3440,4.43199E+16,5556.46,ATM,25591.53,01-01-2023 03:07,20035.07,0
189,T00189,C2917,4.62266E+16,5301.21,POS,10784.4,01-01-2023 03:08,5483.19,0
190,T00190,C3167,4.96626E+16,2426.1,Transfer,27633.93,01-01-2023 03:09,25207.83,0
191,T00191,C2029,4.17211E+16,940.1,Online,48959.75,01-01-2023 03:10,48019.65,0
192,T00192,C4977,4.75769E+16,8973.19,ATM,3764.89,01-01-2023 03:11,-5208.3,1
193,T00193,C3266,4.57415E+16,9005.18,POS,14267.48,01-01-2023 03:12,5262.3,0
194,T00194,C4525,4.87403E+16,6334.68,ATM,12225.58,01-01-2023 03:13,5890.9,0
195,T00195,C4860,4.77606E+16,3396.91,Online,12502.61,01-01-2023 03:14,9105.7,0
196,T00196,C1047,4.35168E+16,3498.6,Online,18997.45,01-01-2023 03:15,15498.85,0
197,T00197,C3786,4.56563E+16,7262.3,Online,40923.68,01-01-2023 03:16,33661.38,0
198,T00198,C3952,4.5714E+16,8972.13,Transfer,45651.65,01-01-2023 03:17,36679.52,0
199,T00199,C1469,4.6495E+16,8871.99,Online,10190.53,01-01-2023 03:18,1318.54,0
200,T00200,C3792,4.32088E+16,7800.96,POS,27193.2,01-01-2023 03:19,19392.24,0
201,T00201,C4624,4.66805E+16,6423.9,Transfer,31881.26,01-01-2023 03:20,25457.36,0
202,T00202,C3199,4.69784E+16,850.56,ATM,26139.19,01-01-2023 03:21,25288.63,0
203,T00203,C4075,4.70233E+16,1624.67,POS,21760.41,01-01-2023 03:22,20135.74,0
204,T00204,C2092,4.71616E+16,8986.56,Transfer,9679.58,01-01-2023 03:23,693.02,0
205,T00205,C4148,4.58567E+16,6068.23,Online,24462.15,01-01-2023 03:24,18393.92,0
206,T00206,C3625,4.62208E+16,101.88,ATM,20120.62,01-01-2023 03:25,20018.74,0
207,T00207,C2393,4.65218E+16,1023.7,Online,39798.61,01-01-2023 03:26,38774.91,0
208,T00208,C1456,4.91388E+16,6638.38,POS,38203.86,01-01-2023 03:27,31565.48,0
209,T00209,C2202,4.58192E+16,60.57,POS,6786.53,01-01-2023 03:28,6725.96,0
210,T00210,C2780,4.10971E+16,1616.47,Transfer,4517.1,01-01-2023 03:29,2900.63,0
211,T00211,C1647,4.50896E+16,5491.85,POS,45416.88,01-01-2023 03:30,39925.03,0
212,T00212,C2858,4.9161E+16,6922.03,ATM,26821.87,01-01-2023 03:31,19899.84,0
213,T00213,C1013,4.61698E+16,6523.09,Transfer,42904.27,01-01-2023 03:32,36381.18,0
214,T00214,C4906,4.3986E+16,2250.45,ATM,3001.74,01-01-2023 03:33,751.29,0
215,T00215,C3957,4.41788E+16,7124.67,Online,26373.13,01-01-2023 03:34,19248.46,0
216,T00216,C4587,4.98069E+16,2380.12,ATM,27017.38,01-01-2023 03:35,24637.26,0
217,T00217,C3947,4.36537E+16,3260.74,ATM,43049.03,01-01-2023 03:36,39788.29,0
218,T00218,C2078,4.25088E+16,7467.45,POS,4970.74,01-01-2023 03:37,-2496.71,0
219,T00219,C4980,4.72605E+16,6499.83,Online,12098.23,01-01-2023 03:38,5598.4,0
220,T00220,C3050,4.6383E+16,8493.74,POS,20386.26,01-01-2023 03:39,11892.52,0
221,T00221,C4120,4.37388E+16,6579.55,Online,43305.49,01-01-2023 03:40,36725.94,0
222,T00222,C1731,4.80708E+16,5687.4,Online,46950.28,01-01-2023 03:41,41262.88,0
223,T00223,C3079,4.33459E+16,945.81,ATM,49636.96,01-01-2023 03:42,48691.15,0
224,T00224,C4738,4.66682E+16,3683.48,POS,47963.75,01-01-2023 03:43,44280.27,0
225,T00225,C1435,4.62074E+16,2659.37,ATM,396.49,01-01-2023 03:44,-2262.88,0
226,T00226,C4565,4.61599E+16,2447.46,ATM,2480.65,01-01-2023 03:45,33.19,1
227,T00227,C3561,4.69116E+16,9730.38,ATM,7465.58,01-01-2023 03:46,-2264.8,0
228,T00228,C2222,4.36279E+16,3937.05,Online,17508.22,01-01-2023 03:47,13571.17,0
229,T00229,C4447,4.76417E+16,8921.55,POS,41512.91,01-01-2023 03:48,32591.36,0
230,T00230,C3617,4.12459E+16,6315.07,POS,44643.54,01-01-2023 03:49,38328.47,0
231,T00231,C3079,4.53663E+16,7950.16,ATM,9423.04,01-01-2023 03:50,1472.88,0
232,T00232,C3494,4.21423E+16,5031.34,Online,31021.24,01-01-2023 03:51,25989.9,0
233,T00233,C1814,4.16923E+16,5773.27,POS,45876.36,01-01-2023 03:52,40103.09,0
234,T00234,C1626,4.80595E+16,4930.25,Transfer,23240.21,01-01-2023 03:53,18309.96,0
235,T00235,C2531,4.32703E+16,1960.48,POS,5266.82,01-01-2023 03:54,3306.34,0
236,T00236,C4123,4.65466E+16,7227.3,ATM,22944.9,01-01-2023 03:55,15717.6,0
237,T00237,C1661,4.34789E+16,2814.92,Transfer,18852.17,01-01-2023 03:56,16037.25,0
238,T00238,C3209,4.33145E+16,252.92,Online,28925.13,01-01-2023 03:57,28672.21,0
239,T00239,C4905,4.76782E+16,6458.27,Transfer,21989.07,01-01-2023 03:58,15530.8,0
240,T00240,C4189,4.64387E+16,1779.34,Transfer,965.56,01-01-2023 03:59,-813.78,0
241,T00241,C4778,4.91977E+16,9405.18,ATM,49700.49,01-01-2023 04:00,40295.31,0
242,T00242,C3172,4.7656E+16,9539.75,POS,27222.66,01-01-2023 04:01,17682.91,1
243,T00243,C4762,4.69371E+16,9149.5,Online,23734.17,01-01-2023 04:02,14584.67,0
244,T00244,C1002,4.43306E+16,3707.89,Transfer,47735.41,01-01-2023 04:03,44027.52,0
245,T00245,C3453,4.25799E+16,164.41,ATM,7877.43,01-01-2023 04:04,7713.02,0
246,T00246,C2327,4.80484E+16,9283.9,POS,9542.96,01-01-2023 04:05,259.06,0
247,T00247,C3001,4.31275E+16,4287.56,Transfer,40419.94,01-01-2023 04:06,36132.38,0
248,T00248,C1079,4.26286E+16,9666.88,ATM,13115.47,01-01-2023 04:07,3448.59,0
249,T00249,C1458,4.57503E+16,9636.56,ATM,39981.43,01-01-2023 04:08,30344.87,0
250,T00250,C4805,4.12981E+16,8531.56,ATM,13649.52,01-01-2023 04:09,5117.96,0
251,T00251,C2486,4.98637E+16,2951.54,Online,1756.06,01-01-2023 04:10,-1195.48,0
252,T00252,C4599,4.97131E+16,3857.13,POS,25899.03,01-01-2023 04:11,22041.9,1
253,T00253,C4406,4.63642E+16,8512.86,Transfer,9914.65,01-01-2023 04:12,1401.79,0
254,T00254,C4304,4.84014E+16,3176.05,POS,37916.53,01-01-2023 04:13,34740.48,0
255,T00255,C2259,4.85446E+16,1703.23,POS,32095.86,01-01-2023 04:14,30392.63,0
256,T00256,C1980,4.77803E+16,5572.44,Transfer,46187.77,01-01-2023 04:15,40615.33,0
257,T00257,C1237,4.47195E+16,9362.19,POS,39171.12,01-01-2023 04:16,29808.93,0
258,T00258,C1986,4.44513E+16,6963.34,Online,9120.72,01-01-2023 04:17,2157.38,0
259,T00259,C4596,4.69508E+16,5704.91,Transfer,40027.9,01-01-2023 04:18,34322.99,0
260,T00260,C3323,4.75392E+16,980.79,Transfer,32122.68,01-01-2023 04:19,31141.89,0
261,T00261,C4878,4.25068E+16,6153.92,ATM,33480.69,01-01-2023 04:20,27326.77,0
262,T00262,C1322,4.6204E+16,9900.64,POS,41629.92,01-01-2023 04:21,31729.28,0
263,T00263,C1350,4.85826E+16,1409.44,Transfer,28733.82,01-01-2023 04:22,27324.38,0
264,T00264,C3997,4.14893E+16,5188.11,Transfer,23353.58,01-01-2023 04:23,18165.47,0
265,T00265,C2990,4.33815E+16,8774.96,Online,31868.39,01-01-2023 04:24,23093.43,0
266,T00266,C4342,4.83817E+16,7410.28,ATM,14968.08,01-01-2023 04:25,7557.8,0
267,T00267,C1283,4.14731E+16,6973.19,Transfer,9211.6,01-01-2023 04:26,2238.41,0
268,T00268,C4115,4.51795E+16,7027.82,Online,30867.73,01-01-2023 04:27,23839.91,0
269,T00269,C3181,4.52895E+16,3601.32,Transfer,11769.03,01-01-2023 04:28,8167.71,0
270,T00270,C4136,4.52898E+16,2942.98,Transfer,4087.76,01-01-2023 04:29,1144.78,0
271,T00271,C1515,4.95411E+16,8095.52,Transfer,127.65,01-01-2023 04:30,-7967.87,0
272,T00272,C1525,4.93088E+16,8103.03,Online,30455.14,01-01-2023 04:31,22352.11,0
273,T00273,C3702,4.31046E+16,8672.05,POS,18171.22,01-01-2023 04:32,9499.17,0
274,T00274,C2946,4.71565E+16,9133.27,Transfer,37640.32,01-01-2023 04:33,28507.05,0
275,T00275,C4878,4.45134E+16,5118.31,Transfer,18821.3,01-01-2023 04:34,13702.99,0
276,T00276,C3251,4.33655E+16,5020.15,POS,24351.57,01-01-2023 04:35,19331.42,1
277,T00277,C1676,4.57778E+16,7984.97,Transfer,20413.54,01-01-2023 04:36,12428.57,0
278,T00278,C2085,4.49157E+16,6503.14,ATM,32563.68,01-01-2023 04:37,26060.54,0
279,T00279,C3161,4.36012E+16,7022.65,Transfer,17871.34,01-01-2023 04:38,10848.69,0
